state,date,M1,M2,M3,M4,V1,V2,V3,V4,D1,D2,D3,TR1,TR2,H1,H2,T1,T1a,T1b,T1c,T0,I1,E1,E1a,R1,IEAD,Xa,Xb,mask,vent,dist,tran,higi,test,imun,aead,ISRAP
TOTAL,26apr2021,1,0,0,1,1,0,0,0,0,.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,50,25,37.5,50,50,0,0,0,2395.8333
TOTAL,27apr2021,1,0,0,1,1,0,0,0,0,.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,50,25,37.5,50,50,0,0,0,2395.8333
TOTAL,28apr2021,1,0,0,1,1,0,0,0,0,.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,50,25,37.5,50,50,0,0,0,2395.8333
TOTAL,29apr2021,1,0,0,1,1,0,0,0,0,.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,50,25,37.5,50,50,0,0,0,2395.8333
TOTAL,30apr2021,1,0,0,1,1,0,0,0,0,.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,50,25,37.5,50,50,0,0,0,2395.8333
TOTAL,01may2021,1,0,0,1,1,0,0,0,0,.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,50,25,37.5,50,50,0,0,0,2395.8333
TOTAL,02may2021,1,0,0,1,1,0,0,0,0,.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,50,25,37.5,50,50,0,0,0,2395.8333
TOTAL,03may2021,1,0,0,1,1,0,0,0,0,.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,50,25,37.5,50,50,0,0,0,2395.8333
TOTAL,04may2021,1,0,0,1,1,0,0,0,0,.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,50,25,37.5,50,50,0,0,0,2395.8333
TOTAL,05may2021,1,0,0,1,1,0,0,0,0,.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,50,25,37.5,50,50,0,0,0,2395.8333
TOTAL,06may2021,1,0,0,1,1,0,0,0,0,.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,50,25,37.5,50,50,0,0,0,2395.8333
TOTAL,07may2021,1,0,0,1,1,0,0,0,0,.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,50,25,37.5,50,50,0,0,0,2395.8333
TOTAL,08may2021,1,0,0,1,1,0,0,0,0,.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,50,25,37.5,50,50,0,0,0,2395.8333
TOTAL,09may2021,1,0,0,1,1,0,0,0,0,.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,50,25,37.5,50,50,0,0,0,2395.8333
TOTAL,10may2021,1,0,0,1,1,0,0,0,0,.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,50,25,37.5,50,50,0,0,0,2395.8333
TOTAL,11may2021,1,0,0,1,1,0,0,0,0,.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,50,25,37.5,50,50,0,0,0,2395.8333
TOTAL,12may2021,1,0,0,1,1,0,0,0,0,.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,50,25,37.5,50,50,0,0,0,2395.8333
TOTAL,13may2021,1,0,0,1,1,0,0,0,0,.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,50,25,37.5,50,50,0,0,0,2395.8333
TOTAL,14may2021,1,0,0,1,1,0,0,0,0,.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,50,25,37.5,50,50,0,0,0,2395.8333
TOTAL,15may2021,1,0,0,1,1,0,0,0,0,.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,50,25,37.5,50,50,0,0,0,2395.8333
TOTAL,16may2021,1,0,0,1,1,0,0,0,0,.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,50,25,37.5,50,50,0,0,0,2395.8333
TOTAL,17may2021,1,0,0,1,1,0,0,0,0,.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,50,25,37.5,50,50,0,0,0,2395.8333
TOTAL,18may2021,1,0,0,1,1,0,0,0,0,.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,50,25,37.5,50,50,0,0,0,2395.8333
TOTAL,19may2021,1,0,0,1,1,0,0,0,0,.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,50,25,37.5,50,50,0,0,0,2395.8333
TOTAL,20may2021,1,0,0,1,1,0,0,0,0,.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,50,25,37.5,50,50,0,0,0,2395.8333
TOTAL,21may2021,1,0,0,1,1,0,0,0,0,.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,50,25,37.5,50,50,0,0,0,2395.8333
TOTAL,22may2021,1,0,0,1,1,0,0,0,0,.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,50,25,37.5,50,50,0,0,0,2395.8333
TOTAL,23may2021,1,0,0,1,1,0,0,0,0,.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,50,25,37.5,50,50,0,0,0,2395.8333
