state,city,date,country,C1,C1_geo,C2a,C2a_geo,C2b,C2b_geo,C3,C3_geo,C4,C4_geo,C6,C6_geo,C9,C9_geo,SPDS_CGRTBRFED
RO,Porto Velho,23jun2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,24jun2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,25jun2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,26jun2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,27jun2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,28jun2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,29jun2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,30jun2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,01jul2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,02jul2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,03jul2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,04jul2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,05jul2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,06jul2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,07jul2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,08jul2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,09jul2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,10jul2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,11jul2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,12jul2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,13jul2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,14jul2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,15jul2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,16jul2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,17jul2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,18jul2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,19jul2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,20jul2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,21jul2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,22jul2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,23jul2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,24jul2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,25jul2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,26jul2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,27jul2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,28jul2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,29jul2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,30jul2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,31jul2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,01aug2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,02aug2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,03aug2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,04aug2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,05aug2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,06aug2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,07aug2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,08aug2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,09aug2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,10aug2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,11aug2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,12aug2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,13aug2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,14aug2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,15aug2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,16aug2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,17aug2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,18aug2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
